id,name,category,address,latitude,longitude,description,tags,url,phone,email,logo,linkedin,twitter,youtube,facebook,year,instagram,ek_website,eklenme_tarihi,NOT,OK?,
1,Arda Bağcılık,Botanik Bahçe,"Küçükdöllük köyü, Kayrak mevkii, 22000 Küçükdöllük/Edirne Merkez/Edirne Türkiye,",41.750104,26.6529053,"Bağlarla çevrili bir şaraphanenin içine kurulu, Türk ve Dünya mutfağı yemekleriyle şarap yudumlayabileceğiniz bir restaurant","Edirne, Bağ EVİ",https://www.ekoharita.org/project/salt-beyoglu/,.,arda@bagrehberi.com,.,.,.,.,.,.,.,.,05.04.2022,.,OK,7105154131524414108
2,Shiluh Süryani Şarapları,Botanik Bahçe,"Işıklar, Cizre Cd. No:333, 47510 Midyat/Mardin, Türkiye,",37.412123,41.3691911,Shiluh Süryani Şarapları,Süryani,.,.,posta@gmail.com,.,.,.,.,.,.,.,.,05.04.2022,.,OK,15541931293722316051
3,Mahzen Şarap Evi,Çiftlik & Eko-Girişim,"Yeni Cami, İstiklal Cd. No:20, 50400 Ürgüp/Nevşehir",38.6299601,34.9072344,Mahzen Şarap Evi,"Edirne, Bağ EVİ",.,.,sdgs@sgs.com,.,.,.,.,.,.,.,.,05.04.2022,.,OK,8222391832196160851
4,Turasan Wine House,Çiftlik & Eko-Girişim,"Yunak, Tevfik Fikret Cd. No:6, 50400 Ürgüp/Nevşehir",38.6332757,34.9019354,Turasan Wine House,"Edirne, Bağ EVİ",.,.,.,.,.,.,.,.,.,.,.,.,.,OK,1195877268079426222
5,Kocabağ Üretim Tesisi,Botanik Bahçe,"50900 Yeşilyurt/Gülşehir/Nevşehir,",38.8161735,34.4427618,Kocabap,"Edirne, Bağ EVİ",.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16548658920794780612
6,Vino Dessera Vineyards,Çiftlik & Eko-Girişim,"Çifteçeşmeler no 75, 39100 Ahmetçe/Kırklareli Merkez/Kırklareli,",41.787843,27.2320083,"Vino Dessera Bağları’nın sahibi Dönmez Ailesi, ilk torunlarının doğumunu hatırlamak, için Kırklareli’nin hemen dışındaki Ahmetçe köyüne ceviz ağaçları dikmeye karar veriyor. Zaman içerisinde bölgenin teruarı, geçmişi ve şartları Dönmez ailesini bağ kurmaya teşvik ediyor.","Edirne, Bağ EVİ",.,.,.,.,.,.,.,.,.,.,.,.,.,OK,2948575103526100198
7,Arcadia Vineyards,Botanik Bahçe,"Arcadia Bağları, 39750 Çeşmekolu/Lüleburgaz/Kırklareli,",41.5353587,27.2949555,"Bağların bulunduğu köy Lüleburgaz’a bağlı. Lüleburgaz’ın eski ismi Arcadiapolis. Ayrıca Arcadia, mitolojide de “yeryüzünde cennet anlamına” geliyor. Hem yerel hem de mitolojik anlamını güzelliği ve geldiği toprakların özelliklerini yansıtan şaraplara Arcadia ismi verildi.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,11898870014385446201
8,CHAMLİJA ŞARAPLARI,Botanik Bahçe,"Yıldırım, 7GWR+MP, 39750 Büyükkarıştıran/Lüleburgaz/Kırklareli",41.2965985,27.5399135,"Çamlıca ailesi, Lüleburgaz’ın Büyükkarıştıran kasabasında 1936 yılından beri çiftçilik ile uğraşan bir ailedir. Ailenin ilk nesli 1936 yılında Bulgaristan’ın Razgrad vilayetinin Kubadın kasabasından Türkiye’ye göç etmiştir. Kubadın’ın ismi Bulgar hükümeti tarafından Loznitsa olarak değiştirilmiştir. Yeni isim, filoksera sonrası Bulgaristan’da ilk yetiştirilen Amerikan anacı asmalarının Kubadın’da yetiştirilmesine istinaden verilmiştir. Anlamı 'Bağlık yer'dir.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
9,Chateau Nuz's,Botanik Bahçe,"Çeşmeli Köyü, Çeşmeli, 59100 Marmaraereğlisi/Tekirdağ",41.0393136,27.8089748,Shiluh Süryani Şarapları,Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
10,Barrel Bag Evi,Botanik Bahçe,"Karaevli, Bilal Sk., 59000 Süleymanpaşa/Tekirdağ",41.022129,27.6589803,"Lezzetin Trakya’nın bereketli topraklarından alan Barel Vineyards, 1997 yılında Akın ailesi tarafından hayata biraz daha tat katmak amacı ile kuruldu. Barel ismi ailenin iki çocuğu Elif ve Barkın Akın kardeşlerin isimlerinden geliyor.",Süryani,.,.,.,.,.,.,.,.,.,.,.,.,.,OK,16446404587150003159
